Date;ALV_High;ALV_Low;Last;Previous Day Price;ALV_Volume;GOOGL_Open;GOOGL_High;GOOGL_Low;GOOGL_Close;GOOGL_Volume;Ex-Dividend_x;Split Ratio_x;Adj. Open_x;Adj. High_x;Adj. Low_x;Adj. Close_x;Adj. Volume_x;FB_Open;FB_High;FB_Low;FB_Close;FB_Volume;Ex-Dividend_y;Split Ratio_y;Adj. Open_y;Adj. High_y;Adj. Low_y;Adj. Close_y;Adj. Volume_y;MSCI_Open;MSCI_High;MSCI_Low;Settle;MSCI_Volume;Prev. Day Open Interest;year;month;weekday
2016-12-06;2.671;2.553;2.666;2.574;2584.0;764.73;768.83;757.34;759.11;1690689.0;0.0;1.0;764.73;768.83;757.34;759.11;1690689.0;117.69;117.795;116.33;117.31;19131202.0;0.0;1.0;117.69;117.795;116.33;117.31;19131202.0;0.0;0.0;0.0;4780.0;0.0;0.0;2016;12;1
2016-12-07;2.764;2.684;2.724;2.666;0.0;761.0;771.36;755.8;771.19;1760966.0;0.0;1.0;761.0;771.36;755.8;771.19;1760966.0;117.0;117.95;116.57;117.95;21913658.0;0.0;1.0;117.0;117.95;116.57;117.95;21913658.0;0.0;0.0;0.0;4810.0;0.0;0.0;2016;12;2
2016-12-08;2.833;2.769;2.833;2.724;7475.0;772.48;778.18;767.23;776.42;1488059.0;0.0;1.0;772.48;778.18;767.23;776.42;1488059.0;117.98;119.5;117.64;118.91;22442756.0;0.0;1.0;117.98;119.5;117.64;118.91;22442756.0;0.0;0.0;0.0;4858.0;0.0;0.0;2016;12;3
2016-12-09;2.815;2.744;2.762;2.833;12130.0;780.0;789.43;779.021;789.29;1821914.0;0.0;1.0;780.0;789.43;779.021;789.29;1821914.0;119.22;119.94;118.95;119.68;17464736.0;0.0;1.0;119.22;119.94;118.95;119.68;17464736.0;0.0;0.0;0.0;4873.0;0.0;0.0;2016;12;4
2016-12-12;2.772;2.732;2.732;2.762;10500.0;785.04;791.25;784.3554;789.27;2104117.0;0.0;1.0;785.04;791.25;784.3554;789.27;2104117.0;119.22;119.24;117.65;117.77;17805527.0;0.0;1.0;119.22;119.24;117.65;117.77;17805527.0;0.0;0.0;0.0;4879.0;0.0;0.0;2016;12;0
2016-12-13;2.737;2.662;2.728;2.732;0.0;793.9;804.3799;793.34;796.1;2145209.0;0.0;1.0;793.9;804.3799;793.34;796.1;2145209.0;117.86;121.52;117.61;120.31;29768028.0;0.0;1.0;117.86;121.52;117.61;120.31;29768028.0;0.0;0.0;0.0;4919.0;0.0;0.0;2016;12;1
2016-12-14;2.716;2.657;2.657;2.728;3000.0;797.4;804.0;794.01;797.07;1704150.0;0.0;1.0;797.4;804.0;794.01;797.07;1704150.0;120.0;121.69;118.85;120.21;25913095.0;0.0;1.0;120.0;121.69;118.85;120.21;25913095.0;0.0;0.0;0.0;4910.0;0.0;0.0;2016;12;2
2016-12-15;2.726;2.715;2.715;2.657;0.0;797.34;803.0;792.92;797.85;1626499.0;0.0;1.0;797.34;803.0;792.92;797.85;1626499.0;120.08;122.5;119.63;120.57;20139568.0;0.0;1.0;120.08;122.5;119.63;120.57;20139568.0;0.0;0.0;0.0;4877.0;0.0;0.0;2016;12;3
2016-12-16;2.735;2.702;2.723;2.715;0.0;800.4;800.8558;790.29;790.8;2443796.0;0.0;1.0;800.4;800.8558;790.29;790.8;2443796.0;120.9;121.5;119.27;119.87;25324299.0;0.0;1.0;120.9;121.5;119.27;119.87;25324299.0;0.0;0.0;0.0;4865.0;0.0;0.0;2016;12;4
2016-12-19;2.693;2.665;2.665;2.723;2000.0;790.22;797.66;786.27;794.2;1232087.0;0.0;1.0;790.22;797.66;786.27;794.2;1232087.0;119.85;120.36;118.51;119.24;15918146.0;0.0;1.0;119.85;120.36;118.51;119.24;15918146.0;0.0;0.0;0.0;4877.0;0.0;0.0;2016;12;0
2016-12-20;2.655;2.641;2.655;2.665;14000.0;796.76;798.65;793.27;796.42;951014.0;0.0;1.0;796.76;798.65;793.27;796.42;951014.0;119.5;119.77;118.8;119.09;13684402.0;0.0;1.0;119.5;119.77;118.8;119.09;13684402.0;0.0;0.0;0.0;4886.0;0.0;0.0;2016;12;1
2016-12-21;2.703;2.66;2.703;2.655;14000.0;795.84;796.6757;787.1;794.56;1211346.0;0.0;1.0;795.84;796.6757;787.1;794.56;1211346.0;118.92;119.2;118.48;119.04;10767646.0;0.0;1.0;118.92;119.2;118.48;119.04;10767646.0;0.0;0.0;0.0;4882.0;0.0;0.0;2016;12;2
2016-12-22;2.684;2.617;2.617;2.703;0.0;792.36;793.32;788.58;791.26;972169.0;0.0;1.0;792.36;793.32;788.58;791.26;972169.0;118.86;118.99;116.93;117.4;16258587.0;0.0;1.0;118.86;118.99;116.93;117.4;16258587.0;0.0;0.0;0.0;4866.0;0.0;0.0;2016;12;3
2016-12-23;2.645;2.603;2.645;2.617;3105.0;790.9;792.74;787.28;789.91;623944.0;0.0;1.0;790.9;792.74;787.28;789.91;623944.0;117.0;117.56;116.3;117.27;10889985.0;0.0;1.0;117.0;117.56;116.3;117.27;10889985.0;0.0;0.0;0.0;4869.0;0.0;0.0;2016;12;4
2016-12-27;2.633;2.613;2.633;2.645;105.0;790.68;797.86;787.657;791.55;789321.0;0.0;1.0;790.68;797.86;787.657;791.55;789321.0;116.96;118.68;116.864;118.01;12051481.0;0.0;1.0;116.96;118.68;116.864;118.01;12051481.0;0.0;0.0;0.0;4885.0;0.0;0.0;2016;12;1
2016-12-28;2.638;2.599;2.599;2.633;2000.0;793.7;794.23;783.2;785.05;1153824.0;0.0;1.0;793.7;794.23;783.2;785.05;1153824.0;118.19;118.25;116.65;116.92;12087377.0;0.0;1.0;118.19;118.25;116.65;116.92;12087377.0;0.0;0.0;0.0;4872.0;0.0;0.0;2016;12;2
2016-12-29;2.603;2.586;2.589;2.599;1000.0;783.33;785.93;778.92;782.79;744272.0;0.0;1.0;783.33;785.93;778.92;782.79;744272.0;117.0;117.531;116.06;116.35;9934873.0;0.0;1.0;117.0;117.531;116.06;116.35;9934873.0;0.0;0.0;0.0;4855.0;0.0;0.0;2016;12;3
2016-12-30;2.588;2.542;2.588;2.589;0.0;782.75;782.78;770.41;771.82;1769950.0;0.0;1.0;782.75;782.78;770.41;771.82;1769950.0;116.595;116.83;114.7739;115.05;18684106.0;0.0;1.0;116.595;116.83;114.7739;115.05;18684106.0;0.0;0.0;0.0;4859.0;0.0;0.0;2016;12;4
2017-01-03;2.75;2.554;2.743;2.56;0.0;778.81;789.63;775.8;786.14;1657268.0;0.0;1.0;778.81;789.63;775.8;786.14;1657268.0;116.03;117.84;115.51;116.86;20663912.0;0.0;1.0;116.03;117.84;115.51;116.86;20663912.0;0.0;0.0;0.0;4869.0;0.0;0.0;2017;1;1
2017-01-04;2.755;2.729;2.749;2.743;0.0;788.36;791.34;783.16;786.9;1072958.0;0.0;1.0;788.36;791.34;783.16;786.9;1072958.0;117.55;119.66;117.29;118.69;19630932.0;0.0;1.0;117.55;119.66;117.29;118.69;19630932.0;0.0;0.0;0.0;4912.0;0.0;0.0;2017;1;2
2017-01-05;2.77;2.714;2.715;2.749;2000.0;786.08;794.48;785.02;794.02;1335167.0;0.0;1.0;786.08;794.48;785.02;794.02;1335167.0;118.86;120.95;118.3209;120.67;19492150.0;0.0;1.0;118.86;120.95;118.3209;120.67;19492150.0;0.0;0.0;0.0;4931.0;0.0;0.0;2017;1;3
2017-01-06;2.745;2.71;2.738;2.715;0.0;795.26;807.9;792.2041;806.15;1640170.0;0.0;1.0;795.26;807.9;792.2041;806.15;1640170.0;120.98;123.88;120.03;123.41;28545263.0;0.0;1.0;120.98;123.88;120.03;123.41;28545263.0;0.0;0.0;0.0;4939.0;0.0;0.0;2017;1;4
2017-01-09;2.747;2.647;2.647;2.738;0.0;806.4;809.9664;802.83;806.65;1274645.0;0.0;1.0;806.4;809.9664;802.83;806.65;1274645.0;123.55;125.43;123.04;124.9;22880360.0;0.0;1.0;123.55;125.43;123.04;124.9;22880360.0;0.0;0.0;0.0;4936.0;0.0;0.0;2017;1;0
